asin,isGot
0005089549,0
000503860X,0
0005419263,0
0005092663,0
0005019281,0
0005119367,0
0005123968,0
0006486576,0
0307142477,0
0307142493,0
0310271908,0
0310396336,0
0375810331,0
0510539610,0
0578047861,0
0615115187,0
0738921467,0
0738920061,0
0738920762,0
0739040375,0
0740318764,0
0740325124,0
0757915655,0
0764000969,0
0764005529,0
0764006401,0
0764004581,0
0764003828,0
0764008722,0
0764193627,0
076700941X,0
0767001311,0
0767015525,0
0767023447,0
0767018699,0
0767020294,0
0767087372,0
0767020731,0
0767027329,0
0767025512,0
0767023765,0
0767019245,0
0767803310,0
0767803434,0
0767808673,0
0767809726,0
0767809254,0
0767805534,0
0767813421,0
076780192X,0
0767819454,0
0767819462,0
0767801814,0
0767819519,0
0767811704,0
0767815335,0
0767815963,0
0767826728,0
0767817737,0
0767827686,0
0767830555,0
0767821408,0
0767726227,0
0767800311,0
0767817664,0
0767837398,0
0767834739,0
0767817486,0
0767818105,0
0767835069,0
0767839129,0
0767821807,0
0767853636,0
0767814908,0
0767850823,0
0767836359,0
0767821610,0
076780046X,0
0767811089,0
0767088247,0
0767839277,0
0767824555,0
0767824571,0
0767805712,0
076785344X,0
0767817648,0
0767882938,0
0767802799,0
0767804325,0
0767827759,0
0769720307,0
0769721036,0
0769770444,0
0778607704,0
0780021045,0
0780021932,0
0780020715,0
0780021649,0
0780022319,0
0780620372,0
0780621956,0
0780023196,0
0780606957,0
078062176X,0
0780023099,0
0780615573,0
0780622677,0
0780622189,0
0780622383,0
078060718X,0
078062386X,0
0780621638,0
0780626699,0
0780627822,0
0780021088,0
0780630068,0
0780626613,0
0780622537,0
0780023447,0
0780629752,0
078062582X,0
0780020855,0
0780625390,0
0780626702,0
0780022386,0
0780630866,0
0780023161,0
0780623614,0
078065062X,0
0780662504,0
0780623223,0
0780621832,0
0780620496,0
078063134X,0
0780630874,0
0780635299,0
0781740681,0
0782007848,0
0782010792,0
0782006752,0
0782008119,0
0782008372,0
078201061X,0
0783114729,0
0783114222,0
0783111037,0
0783112750,0
0783211201,0
078311530X,0
078310135X,0
0783111509,0
0782010040,0
0783218923,0
0783217048,0
0783110960,0
0783110901,0
0783222726,0
0783115539,0
0783224788,0
0783222424,0
0783211694,0
0783227272,0
0783226853,0
0783226535,0
0783225857,0
0783114907,0
0783116640,0
0783226608,0
0783226799,0
0783224583,0
0783228252,0
0783228686,0
0783227930,0
0783228341,0
0783225911,0
078322995X,0
0783226896,0
0783217498,0
0783117159,0
0783209967,0
078322723X,0
0783230427,0
078322687X,0
0783226985,0
0783231032,0
078322561X,0
0783229747,0
0783239955,0
0783229569,0
0783230346,0
0783227361,0
0783240473,0
0783241569,0
0783227892,0
0783240066,0
0783234287,0
0783210973,0
0783241313,0
0783230486,0
0783235380,0
0783229712,0
0783239408,0
0783226993,0
078322947X,0
0783235410,0
0783245130,0
078322740X,0
0783243499,0
0783235615,0
0783235674,0
0783116926,0
0783227922,0
0783229399,0
0784001308,0
0784011370,0
078400949X,0
0784013470,0
0784011680,0
0784017808,0
0784011532,0
0784017956,0
0784010331,0
0784017875,0
0784011249,0
0784017964,0
0784011648,0
0788600931,0
0788606344,0
0788810634,0
0788812467,0
0788821075,0
0788857746,0
078885383X,0
0788815474,0
078887148X,0
078882273X,0
0788872796,0
0788812262,0
0788860119,0
0788832182,0
0788802194,0
0788812424,0
0788861956,0
0788832492,0
0788814664,0
0790724960,0
0790732548,0
0790732521,0
079073124X,0
0790731266,0
0790732181,0
0790729687,0
0790731215,0
0790732300,0
0790733919,0
0790733226,0
0790732432,0
0790729733,0
0790734419,0
0790725657,0
0790729709,0
0790729342,0
0790729989,0
0790729377,0
0790729644,0
0790731797,0
0790733927,0
0790729628,0
0790732149,0
0790736063,0
0790739313,0
0790737744,0
0790740281,0
079073463X,0
0790740664,0
0790734737,0
0790740451,0
0790736977,0
0790740443,0
0790737647,0
0790731517,0
0790741288,0
079073608X,0
0790743213,0
0790741067,0
0790741644,0
0790744813,0
0790743442,0
0790744929,0
0790748193,0
0790731614,0
0790750732,0
0790744236,0
0790751569,0
0790748266,0
079072961X,0
0790741431,0
0790742462,0
0790744546,0
0790750414,0
0790734966,0
0790757354,0
0790785366,0
0790737868,0
079075181X,0
079079568X,0
0790745003,0
0790751445,0
0790741296,0
0790751143,0
079074886X,0
0790746387,0
079074676X,0
0790736527,0
0792115465,0
0792151712,0
0792153456,0
0792143817,0
0792146433,0
0792102320,0
0792158202,0
0792157850,0
0792153189,0
0792145496,0
0792146344,0
0792160347,0
0792110188,0
0792160932,0
0792165039,0
0792171306,0
0792166736,0
0792199405,0
0792153677,0
0792153685,0
0792166523,0
0792145097,0
0792292553,0
0792834976,0
0792834933,0
0792833201,0
0792836030,0
0792834917,0
0792836529,0
0792837746,0
0792838955,0
0792836618,0
079283948X,0
0792836685,0
079283514X,0
0792840119,0
0792837398,0
0792838653,0
0792839129,0
0792841905,0
0792842162,0
079284209X,0
0792840984,0
0792840011,0
0792838726,0
0792843991,0
0792843800,0
0792843894,0
0792843967,0
0792839684,0
0792838947,0
0792838661,0
0792843622,0
0792844718,0
0792844025,0
0792842111,0
079284565X,0
0792841409,0
0792842626,0
0792845552,0
0792846133,0
0792841980,0
0792846605,0
0792844734,0
0792842154,0
0792844033,0
0792845900,0
0792844041,0
0792899768,0
0792842006,0
0792899075,0
0792844645,0
0792898524,0
0792899458,0
0792898702,0
0792845870,0
0792845242,0
0792839420,0
0792844785,0
0792899229,0
0792841840,0
0792845765,0
0792839072,0
0792899806,0
0793906091,0
079396041X,0
079398257X,0
0793984297,0
0793961009,0
0793927536,0
0793927714,0
0800112652,0
0800114051,0
0800111842,0
0800129016,0
0800141709,0
0800177029,0
0800129784,0
0800116143,0
0800127943,0
0800141741,0
0800104862,0
0800121260,0
0800180429,0
0800139062,0
0800115066,0
0800198840,0
0800135547,0
0800136926,0
0800141660,0
0842375619,0
0842526919,0
084252455X,0
0849922372,0
0849986761,0
0870204556,0
0874934648,0
0892216972,0
0898706939,0
093085280X,0
0935278591,0
0936184906,0
0941232131,0
0941283186,0
0945671873,0
0949906980,0
0956310117,0
0963093932,0
0964083817,0
0964500094,0
0966063341,0
0966296400,0
0966531248,0
0966691105,0
0967124816,0
0967418518,0
0967501032,0
096751780X,0
0967830206,0
0970103905,0
097013830X,0
0970662408,0
0970742231,0
0971098220,0
0971098212,0
0971098255,0
097131649X,0
0971366306,0
0971744319,0
0972043306,0
0972597506,0
0973323396,0
097369470X,0
0974510300,0
0975061968,0
0976202468,0
0976233916,0
0976731096,0
0979927900,0
0981460224,0
0981458971,0
0784010447,0
0982153309,0
0982939876,0
0982982224,0
0983298122,0
0984301801,0
0988187469,0
098828278X,0
0849975034,0
0001526863,0
0784017735,0
0757990290,0
0898707145,0
1401927297,0
1401926339,0
1401926436,0
1403143609,0
140498822X,0
1415723427,0
0780630548,0
1424819210,0
078885996X,0
0964278928,0
0005000009,0
0973005009,0
0782009328,0
0792154436,0
0740319140,0
0790747693,0
1556586892,0
1557396248,0
1557840873,0
1558804641,0
1558908676,0
1558908382,0
1559409002,0
155940860X,0
1559408758,0
1559408677,0
1560154012,0
1560396474,0
1560395907,0
1560396539,0
1560689994,0
1561270563,0
1561080004,0
1561589578,0
1562022393,0
1562196308,0
1562199730,0
1562196367,0
1562021907,0
1562196650,0
1562550888,0
1563311976,0
1563452685,0
1563453789,0
156371616X,0
156501345X,0
156580211X,0
1565855744,0
1565859723,0
1565856635,0
1566053692,0
1566053986,0
1566331803,0
1567301614,0
1567301568,0
1567301789,0
1567301606,0
1567301355,0
1568124945,0
1568327730,0
1568392273,0
1568556829,0
0790740672,0
1569382964,0
1569383790,0
1569388997,0
1569389063,0
1569383529,0
1569385939,0
1569388059,0
1569381976,0
1569383472,0
1569388431,0
156949407X,0
1571196927,0
1571323848,0
1571322728,0
1571208526,0
1571323368,0
1571320377,0
1571324127,0
1571324240,0
157132528X,0
1572521252,0
1572521279,0
1572523018,0
1572521473,0
1572521783,0
1572520639,0
1572522178,0
1572522747,0
1572524421,0
1572524359,0
